customer_id,age,gender,signup_date
1,56,Female,2020-12-13
2,69,Male,2021-09-18
3,46,Male,2021-09-21
4,32,Male,2020-12-29
5,60,Male,2020-11-16
6,25,Male,2020-10-12
7,38,Male,2020-05-28
8,56,Male,2021-02-09
9,36,Male,2022-09-04
10,40,Female,2021-03-31
11,28,Female,2022-03-10
12,28,Female,2022-10-09
13,41,Female,2022-02-22
14,53,Female,2021-04-04
15,57,Male,2022-01-07
16,41,Female,2021-05-23
17,20,Female,2021-04-25
18,39,Female,2020-04-23
19,19,Male,2022-01-18
20,41,Male,2020-12-26
21,61,Male,2020-12-06
22,47,Male,2022-02-08
23,55,Female,2022-01-30
24,19,Female,2022-08-26
25,38,Male,2021-03-24
26,50,Other,2022-04-14
27,29,Female,2020-11-06
28,39,Male,2020-09-18
29,61,Male,2021-02-09
30,42,Male,2020-05-22
31,66,Male,2020-12-07
32,44,Male,2020-08-31
33,59,Male,2021-05-04
34,45,Male,2020-01-12
35,33,Male,2021-07-14
36,32,Female,2020-02-11
37,64,Male,2021-11-08
38,68,Female,2021-08-16
39,61,Male,2020-05-13
40,69,Other,2022-12-26
41,20,Male,2022-10-27
42,54,Male,2022-08-05
43,68,Other,2020-03-13
44,24,Female,2021-02-02
45,38,Female,2021-07-31
46,26,Male,2022-05-08
47,56,Male,2020-05-09
48,35,Female,2022-07-19
49,21,Female,2020-09-22
50,42,Female,2022-03-03
51,31,Female,2020-09-09
52,67,Male,2022-04-01
53,26,Female,2020-06-12
54,43,Male,2020-04-04
55,19,Male,2022-04-12
56,37,Male,2020-12-01
57,45,Female,2022-04-01
58,64,Male,2020-08-25
59,24,Male,2021-01-15
60,61,Female,2022-06-17
61,25,Male,2021-04-27
62,64,Female,2022-06-20
63,52,Male,2022-11-14
64,31,Female,2021-04-26
65,34,Female,2022-07-05
66,53,Male,2022-09-20
67,67,Male,2022-08-21
68,57,Male,2021-06-20
69,21,Male,2022-11-01
70,19,Other,2020-05-07
71,23,Male,2020-04-01
72,59,Female,2021-06-26
73,21,Male,2022-04-25
74,46,Female,2022-09-15
75,35,Female,2021-03-22
76,43,Female,2021-01-24
77,61,Male,2021-11-02
78,51,Male,2020-02-12
79,27,Male,2020-09-10
80,53,Female,2022-12-19
81,31,Female,2021-10-24
82,48,Other,2021-04-11
83,65,Male,2020-10-13
84,32,Female,2022-10-07
85,25,Female,2022-02-16
86,31,Male,2020-12-10
87,40,Male,2021-10-03
88,57,Female,2021-01-16
89,38,Female,2021-11-20
90,33,Female,2022-12-15
91,62,Male,2021-04-01
92,35,Female,2022-09-09
93,64,Male,2020-03-23
94,41,Male,2020-05-28
95,43,Male,2020-07-08
96,42,Female,2022-06-01
97,62,Female,2020-09-19
98,58,Female,2021-02-03
99,46,Male,2022-02-02
100,32,Female,2021-08-31
101,62,Male,2022-02-23
102,18,Female,2020-04-10
103,42,Male,2022-03-30
104,24,Male,2022-03-30
105,26,Male,2021-02-23
106,41,Male,2020-05-03
107,18,Female,2021-02-25
108,61,Female,2022-12-22
109,25,Male,2022-02-06
110,41,Female,2021-04-27
111,28,Male,2021-06-02
112,68,Female,2020-06-03
113,34,Female,2020-04-01
114,25,Female,2022-09-08
115,52,Male,2021-03-30
116,52,Female,2021-08-20
117,50,Female,2021-05-24
118,22,Male,2021-01-20
119,59,Male,2021-02-08
120,56,Female,2020-09-02
121,58,Female,2022-01-11
122,45,Female,2021-10-22
123,24,Female,2021-10-11
