transaction_id,customer_id,product_id,transaction_date,quantity
1,489,6,2021-10-04,2
2,686,57,2022-11-04,2
3,242,1,2022-01-26,2
4,794,71,2022-03-25,4
5,753,58,2021-09-16,3
6,882,91,2021-11-03,2
7,5,21,2021-04-05,4
8,596,92,2022-04-09,3
9,820,80,2021-09-03,1
10,361,56,2022-09-27,1
11,459,87,2021-07-06,4
12,248,20,2022-01-08,3
13,566,54,2022-07-26,2
14,673,25,2022-02-10,3
15,946,28,2022-02-12,2
16,422,5,2021-05-05,4
17,923,21,2021-12-03,2
18,738,18,2021-12-07,4
19,15,47,2022-07-17,3
20,736,70,2021-06-27,3
21,573,57,2022-10-13,2
22,122,93,2021-06-19,3
23,277,19,2021-02-08,2
24,558,97,2021-03-10,3
25,453,65,2021-08-24,1
26,390,3,2022-07-14,2
27,294,42,2022-01-16,4
28,574,21,2021-02-26,1
29,598,99,2021-10-04,4
30,446,40,2021-04-09,3
31,210,67,2022-06-11,1
32,590,25,2021-11-21,3
33,714,55,2022-04-06,2
34,302,84,2021-06-28,4
35,909,52,2022-07-28,3
36,223,44,2021-04-29,4
37,734,98,2022-04-14,4
38,3,85,2022-07-03,3
39,990,56,2022-10-08,2
40,518,55,2022-03-31,4
41,93,87,2021-01-26,3
42,520,70,2022-05-05,2
43,428,77,2021-01-08,3
44,493,87,2022-05-31,2
45,235,73,2022-06-17,4
46,620,81,2021-05-29,1
47,161,66,2022-05-03,3
48,721,19,2021-01-25,4
49,752,83,2022-10-17,3
50,331,7,2022-07-09,3
51,333,63,2022-03-01,2
52,50,42,2021-10-20,3
53,523,42,2021-07-04,2
54,863,59,2022-07-08,4
55,668,20,2022-03-07,3
56,492,73,2022-08-27,4
57,582,17,2021-11-13,1
58,681,27,2022-02-02,4
59,272,47,2021-11-20,3
60,580,2,2022-07-19,1
61,867,63,2022-08-19,2
62,252,62,2022-06-30,1
63,560,100,2021-03-17,3
64,696,19,2022-12-10,3
65,832,17,2022-05-01,4
66,699,69,2021-03-29,2
67,90,39,2021-08-20,3
68,446,82,2021-01-07,3
69,332,71,2022-07-04,2
70,139,81,2021-02-21,2
71,357,39,2022-10-17,4
72,601,36,2022-01-31,1
73,274,40,2021-08-09,2
74,19,45,2022-03-04,3
75,983,4,2021-05-23,2
76,311,25,2021-12-29,3
77,870,69,2022-01-17,4
78,886,30,2022-07-15,1
79,978,76,2021-10-04,4
80,154,68,2021-09-28,2
81,390,88,2021-01-14,3
82,260,29,2021-10-25,2
83,620,73,2022-04-09,2
84,883,68,2022-06-11,2
85,797,51,2021-08-22,2
86,571,24,2022-07-29,1
87,125,14,2022-12-09,3
88,354,69,2021-01-27,2
89,273,18,2022-04-16,3
90,619,42,2021-04-03,1
91,811,57,2022-09-09,3
92,245,83,2021-11-05,3
93,848,12,2021-02-21,1
94,450,82,2021-11-15,2
95,930,17,2021-06-30,3
96,247,30,2022-07-23,4
97,520,88,2021-04-30,3
98,141,75,2021-02-12,2
99,362,99,2022-10-09,4
100,8,23,2021-09-17,2
101,478,81,2021-07-16,3
102,352,1,2022-10-07,1
103,996,79,2021-09-12,2
104,495,32,2021-12-02,2
105,606,9,2022-07-07,1
106,833,15,2022-05-17,3
107,427,28,2021-09-12,2
108,39,24,2022-05-29,3
109,593,60,2022-12-08,3
110,187,35,2021-08-30,3
111,596,86,2021-05-29,1
112,600,27,2022-12-11,3
